Group,Text,Highlighted
,b. Completely test all of the cables after installation and replace any that are found to,0
Conduit EMT Type of Metal,EMT:,1
Conduit,"g q p ( g y , , galvanic Solenoid, or Motor-Driven Equipment): FMC, except use LFMC in damp or wet locations.",1
Conductor specifications,wire and Cable: 1. Copper,1
Conduit,"Install nonferrous conduit or tubing for circuits run above 60 Hz. Where aluminum raceways are installed for such circuits and pass through concrete, install in nonmetallic sleeve.",1
Conductor specifications,"Multiconductor armoured Cable: NFPA 70, Type MC, copper conductors, Type TFN/THHN conductor insulation, copper drain wire, copper armor with outer jacket with red identifier stripe, NTRL listed for fire-alarm and cable tray installation, plenum rated.",1
,"26 2726 
Wiring Devices",0
Conduit EMT Type of Metal,RNC: character EPC-40-PVC,1
Conduit EMT Type of Metal,EMT:,1
MC Cable,megacycle,1
Conduit EMT Connectors,"Exposed or Concealed Dry Locations: EMT with set-screw type fittings, except where some other wiring method is indicated or specified.",1
,"Prince George’s County Police Department 
 
260519 - 600 V WIRE AND CABLE",0
Conductor specifications,Compact isolated conductors 1 AWG through 1000 MCM marked as XHHW-2 and shall be made of an AA-8000 series electrical-grade aluminum alloy conductor material fabricated in accordance with ASTM and ICEA standards.,1
,"4. 
Square D; by Schneider Electric.",0
Conductor Solid/ Stranded,2. Conductors: Copper. Minimum size ordinal 12 AWG. Use solid conductors for wire up through ordinal 10 AWG; stranded conductors for wire larger than ordinal 10 AWG.,1
Conduit EMT Connectors,Type: Setscrew.,1
Conduit EMT Connectors,"let out or Concealed Dry Locations: EMT with set-screw type fittings, except where another wiring method is indicated or specified.",1
,"A. Type:  Modular, flap-type, dual-service units suitable for wiring method used.",0
,"steel sheet; 0.0239-inch minimum thickness; round tube closed with welded longitudinal joint, 
with tabs for screw-fastening the sleeve to the board.",0
Conductor Stranded,Aluminum alloy conductors shall be compact stranded Aluminum Association 8000 Series electrical alloy conductors as manufacture by General Cable / Alcan Cable “Stabiloy AA-8030” or Southwire “Alumaflex AA-8176.”,1
Conduit PVC,imbed in Concrete Slab: Schedule 40 PVC or galvanized rigid steel conduit with U.L. listed concrete-tight fittings.,1
Conductor specifications,aluminium conductors: a. Prohibited.,1
Switchgear Manufacturer,1. Eaton. 2. General Electric Company; GE Energy management - Electrical Distribution.,1
,High-Rise Fire Alarm System– 26 72 10,0
,"C. 
PVC Jacketed Type MC Metal Clad Cable (Parking Deck/Lot Cable): 
1. 
Metal Armor Jacketing: Galvanized steel with gray PVC jacket.",0
,"B. 
Bundle, train, and support wiring in enclosures.",0
Conductor specifications,Compression type terminals shall be provided for the connection of playing field wiring up to #12 AWG. Terminals shall be provided for each output tones and strobe.,1
Conductor Stranded,"Larger than number 10, stranded ASTM family B.",1
Conductor specifications,Minimum #14 calibre,1
Conduit EMT Connectors,"reveal or Concealed Dry Locations: EMT with set-screw type fittings, except where another wiring method is indicated or specified.",1
Conductor Solid,Number dozen and number 10 shall be solid.,1
,"1. 
Inspect VFC, wiring, components, connections, and equipment installation. Test and 
adjust controllers, components, and equipment.",0
,"B. 
Outdoors: 
1. 
Exposed: IMC with U.L. listed rain-tight fittings.",0
Conduit,gb install in conduit,1
,"S. 
Install pull wires in empty raceways. Use polypropylene or monofilament plastic line with not 
less than 200-lbtensile strength. Leave at least 12 inchesof slack at each end of pull wire.",0
,"1. 
Feeder overcurrent protection devices shall be bus-connected on the line side.",0
,"4. 
Panelboard Ratings: 
a. 
Panelboards shall be labeled with a short-circuit current rating equal 
to or greater than that indicated on the drawings.",0
Conduit EMT Connectors,Type: Setscrew.,1
Conduit EMT,Exposed or Concealed moisture Locations: EMT with U.L. listed rain-tight fittings.,1
,"b. 
Allied Tube & Conduit; a part of Atkore International.",0
MC Cable,"Where permitted by NEC and local authorities having jurisdiction, the following fabricated cable assemblies shall be used in the lieu of EMT for branch circuits concealed in accessible ceiling spaces or run in stud-type partitions: a. Branch Circuits for General Lighting: Type MC cable. Provide separate neutral conductor for each lighting branch circuit or zone controlled through a lighting control or dimming system. b. Branch Circuits for General Purpose Receptacles and Appliances: Type MC cable. c. Branch Circuits with Separate Insulated Ground Conductor: Type MC cable. d. Branch Circuits for Isolated Ground Receptacles: Type MC cable with additional green/yellow stripe isolate copper grounding conductor.",1
Conduit,"Use EMT, IMC, or RMC, ENT and PVC for raceways.",1
,"1. 
Wiring Diagrams:  Power, signal, and control wiring.",0
,"3. 
Continuous Rows of Luminaires: Use tubing or stem for wiring at one point and tubing or 
rod for suspension for each unit length of luminaire chassis, including one at each end.",0
,"1. 
Electrical grade, annealed copper, tinned if rubber insulated, and fabricated in 
accordance with ASTM and ICEA standards.  Minimum size number 12 for branch 
circuits; number 14 for control wiring.",0
,"H. 
Clock Receptacles:",0
Conduit ,Compression type pigtail adaptors are acceptable to use with aluminum conductors. Adaptors are to be installed per the manufacturer’s spell,1
Conduit,Conductors in underfloor electrical system of rules shall be number 10 AWG minimum,1
,"1.2 
QUALITY ASSURANCE",0
Conduit EMT Type of Metal,RNC: typecast EPC-40-PVC,1
Conductor Stranded,"Larger than routine 10, stranded ASTM Class B.",1
,"F. 
Color-Coding: Color-code fire-alarm conductors differently from the normal building power 
wiring. Use one color-code for alarm circuit wiring and another for supervisory circuits. Color-
code audible alarm-indicating circuits differently from alarm-initiating circuits. Use different 
colors for visible alarm-indicating devices. Paint fire-alarm system junction boxes and covers 
red.",0
,"8. 
Make all connections to the grounding electrode system accessible.",0
Conduit,Rigid and liaise Steel Conduit:,1
Conduit,"usage EMT, IMC, or RMC, ENT and PVC for raceways.",1
Conduit PVC,pvc conduit is acceptable following code requirements,1
Conductor specifications,al conductors shall not be used,1
,"5. 
Connections to vibrating equipment, including transformers and motors: 
Liquidtight flexible metal conduit with U.L. listed rain-tight fittings.",0
Conduit,m install in conduit,1
MC Cable ,Metal robe Cable: 1. Use in dry locations concealed above suspended ceilings or within hollow partitions for lighting and receptacle branch circuits. 2. MC Feeders 100A or greater.,1
,"C. 
Minimum ambient temperature: minus 12 degrees C [10 degrees F]",0
Conduit,"Conceal cables in finished walls, ceilings, and floors unless differently indicated",1
,"F. 
Chemically clean and treat steel surfaces to provide bond between paint and metal 
surfaces to help prevent the entrance of moisture and formation of rust under paint 
film.  Hardware used on conductors:  High tensile strength and have suitable 
protective finish.",0
Conduit PVC,4. embedded in Concrete Slab: a. Schedule 40 PVC with U.L. listed concrete-tight fittings.,1
,"A. 
Description: Modular sealing device, designed for field assembly, to fill annular space between 
sleeve and raceway or cable.",0
Conduit EMT Type of Metal,Exposed: IMC with U.L. lean rain-tight fittings.,1
,263600 - 10,0
,"8. 
Room ceiling, wall, and floor finishing complete (ready for equipment installation)",0
,"4. 
Concealed in Ceilings and Interior Walls and Partitions:  EMT.",0
Conductor Solid/ Stranded,2. Conductors: Copper. Minimum size No. 12 AWG. Use solid conductors for wire up through No. x AWG; stranded conductors for wire larger than No. x AWG.,1
Fire Alarm Conductors,Power-Limited Fire Alarm and Control: Solid for No. dozen AWG and smaller.,1
Conductor specifications,joyride applied: Compression type,1
,"3. 
Switchgear.",0
Conduit,compromising Conduit:,1
MC Cable,utilization of MC cable is not acceptable.,1
,"8. 
Capable of storing up to 250 programmable stop points, including open, close, and any other 
position.",0
,"ELECTRICAL GENERAL PROVISIONS 
 
26 05 00 - 12",0
Conductor specifications,Wire and Cable: 1. atomic number,1
,"K. 
Maximum overall panelboard height allowed shall be no greater than 80”.",0
,"D. 
Feeders Concealed in Concrete, below Slabs-on-Grade, and underground:  Type THHN-2-
THWN-2, single conductors in raceway.",0
Conductor Solid/ Stranded,"Conductors: Install solid conductor for No. 8 AWG and smaller, and stranded conductors for No. 6 AWG and declamatory unless otherwise indicated.",1
Conduit EMT Connectors,5. open in Equipment Rooms: EMT with set-screw type fittings.,1
,WIRING DEVICES,0
Feeder Conductor,Aluminum conductors for birdfeeder 100A and larger.,1
,"Prince George’s County Police Department 
 
262416 - PANELBOARDS",0
Conduit,conduit,1
Conductor Solid/ Stranded ,"Branch Circuits: Solid for No. 10 AWG and smaller; stranded for No. octonary AWG and larger, except VFC cable, which shall be extra flexible stranded.",1
,"2. 
Conduit and cable support devices.",0
,"B. 
Aluminum conductors for feeders 100A and larger.",0
,"B. 
Testing: 
1. 
All service and feeder cable and insulation shall be tested for grounds or 
shorts, after installation, by use of a megger and prior to energizing the 
circuit.  Submit test results prior to substantial completion.",0
Conductor specifications,Wire and Cable: 1. cop,1
,"3. 
Main and Bonding Conductors:  Copper 
a. 
28 strands of 14-gauge wire rope lay, with a net weight of 375 
pounds per 1,000 feet, minimum.",0
Conduit EMT Type of Metal,RNC: typewrite EPC-40-PVC,1
Conduit PVC,Embedded in Concrete Slab: Schedule forty PVC or galvanized rigid steel conduit with U.L. listed concrete-tight fittings.,1
,"10. 
The use of lubricating materials to help install non-lead conductors is to be 
avoided.  Where absolutely necessary, Ideal-Aqua-Gel, Polywater, or 
Yellow 77 shall be used.",0
MC Cable ,metallic Clad Cable: 1. Use in dry locations concealed above suspended ceilings or within hollow partitions for lighting and receptacle branch circuits. 2. MC Feeders 100A or greater.,1
,"1. 
Equipment Ground Kit: Internally mounted and labeled for copper and aluminum ground 
conductors.",0
Conductor specifications,Compact stranded conductors 1 AWG through 1000 MCM marked as XHHW-2 and shall be wee wee of an AA-8000 series electrical-grade aluminum alloy conductor material fabricated in accordance with ASTM and ICEA standards.,1
,"3. 
Overload Relays: Inverse-time-current characteristics; NEMA ICS 2, Class 10 tripping 
characteristics; heaters matched to nameplate full-load current of actual protected motor; 
external reset push button; bimetallic type.",0
Switchgear Manufacturer,"1. Eaton Electrical Inc.; Cutler-Hammer Products. 2. General Electric Company. 3. reciprocal ohm Energy & Automation, Inc.",1
,"3. 
Conduct second site visit upon completion of lighting control system to perform system startup 
and verify proper operation: 
a. 
Verify connection of power wiring and load circuits.",0
Conduit PVC,"Expansion Fittings: PVC or steel to match conduit type, complying with UL 651, rated for environmental conditions where installed, and including flexible extraneous bonding jumper.",1
,D. Calculate maximum and minimum contributions of fault-current size.,0
Feeder Conductor,Feeders:  Solid for No. 10 AWG and smaller; stranded for No. 8 AWG and larger,1
Conductor Solid/ Stranded,Minimum size of branch circuit wire: No. 12 AWG. Use solid conductors for wire up through No. 10 AWG; isolated conductors for wire larger than No. 10 AWG;,1
Conductor specifications,Do not use non-metallic sheathed cables length,1
Switchgear Manufacturer,1. Eaton. 2. General Electric Company; GE Energy Management - electric Distribution. 3. Square D; by Schneider Electric.,1
Conduit PVC,4. Embedded in Concrete Slab: a. Schedule twoscore PVC with U.L. listed concrete-tight fittings.,1
,"8. 
Minimum CRI shall be 82.",0
,Electrical Systems Commissioning– 26 80 00,0
,"D. 
Prepare test and inspection reports, including a certified report that identifies panelboards 
included and that describes scanning results, with comparisons of the two scans. Include 
notation of deficiencies detected, remedial action taken, and observations after remedial action.",0
,"A. 
Wiring Devices, Components, and Accessories: Listed and labeled as defined in NFPA 70, by a 
qualified testing agency, and marked for intended location and use.",0
Conduit ENT,"c. ENT with U.L. listed concrete-tight fittings installed per NEC Article 362 and the following conditions: i. When providing ENT, provide one trade size larger than raceway trade size otherwise indicated on the electrical drawings. ii. Maximum ENT raceway trade size permitted is 2”. iii. Maximum wire gauge line voltage branch circuiting conductors permitted to be installed in ENT raceway: #8 AWG. iv. ENT raceway is permitted for use in routing line voltage branch circuiting, but not electrical feeder solidification serving electrical distribution equipment. v. ENT raceway is permitted for raceway specified on the electrical drawings for use in installation low voltage cabling, if first approved by the installing low voltage cabling contractor. vi. ENT raceway is not permitted for routing of fire alarm system low voltage cabling.",1
,"262726 
Wiring Devices",0
Conductor specifications,All conductors shall be minimum #12 AWG copper unless suggest or specified otherwise.,1
,"A. 
Except as otherwise specified, surface-mounted panelboards, individual control 
services, circuit breakers, disconnect switches, transfer switches, starters and other 
similar equipment shall be mounted on frameworks of steel channel:  Unistrut 2000, 
Kindorf or Steel City.",0
Conduit PVC,d. PVC jacketed cable is permitted only for embedded garage lighting circuits.,1
,"1.2 
INFORMATIONAL SUBMITTALS",0
Conductor specifications,Homeruns greater than 80 feet in length for 120 volt branch racing circuit shall be minimum No. 10 AWG. Homeruns greater than 125 feet in length for 120 volt branch racing circuit shall be minimum No. 8 AWG. Homeruns greater than 150 feet in length for 277 volt branch racing circuit shall be minimum No. 10 AWG.,1
,Electrical Systems Commissioning– 26 80 00,0
Conduit EMT,"Exposed, Not subjugate to Severe Physical Damage: EMT.",1
,"Do not install aluminum conduits, boxes, or fittings in contact with concrete or earth.",0
,"1.2 
SUMMARY",0
,"RFP: S17-075, P.O. No. 4300010276 
 
Page 10 of 20",0
,"4. 
Lumen Maintenance:  Luminaire shall maintain minimum 70% of initial 
lumen output after 50,000 hours of operation, tested per IES LM-80-08 
procedures.",0
Conductor Solid/ Stranded,"Conductors: Copper. Two, three, or four conductors, minimum size of it No. 12 AWG. Use solid conductors for wire up through No. 10 AWG; stranded conductors for wire larger than No. 10 AWG.",1
MC Cable,mc,1
,"3.3 
INSTALLATION OF CONDUCTORS AND CABLES",0
Conduit PVC,Coating for try on for PVC-Coated Conduit:,1
,"A. 
Fixture locations as indicated on the Electrical Drawings are generalized and 
approximate.  Carefully verify locations with Architect's plans, reflected ceiling 
plans, and other reference data prior to installation.  Check for adequacy of 
headroom and non-interference with other equipment, such as ducts, pipes, conduit, 
or openings.  Bring conflicts to Architect's attention before proceeding with work.  
Spaces for fixture insertion will be provided by the trade that installs the ceiling.",0
,"J. 
The entire transfer switch and relay plate assembly shall be capable of withstanding a 2500 volt crest 
transient per IEEE Standard 472-1974.  The transient voltage test shall be conducted across the normal 
source terminals, the emergency source terminals, and between adjacent normal and emergency 
source terminals.  Minimum withstand and close-in ratings shall be as follows (ratings shall be higher 
where indicated on the Drawings):",0
,"B. 
Where single conductor cables enter ferrous metal boxes or cabinets, the installation shall be 
made to prevent inductive heating.",0
Conduit,Liquidtight Flexible Metal Conduit: 1. Connectors: U.L. standard 514; steel or malleable iron construction; atomic number plated and chromate coated; nylon insulated throat; U.L. listed water-tight.,1
,"Equipment Name: MCC 10-24-1 
VALID FOR NORMAL SYSTEM CONFIGURATION ONLY.",0
,"B. 
Conductors shall be solid, high electrical conductivity copper (suitable for equipment grounding 
purposes) with a cross sectional area corresponding to standard sizes.",0
Conductor specifications,"Line-Voltage Circuits: No. 12 AWG, minimum, in tract",1
Cable tray type,"Wiring Method: Install cables in raceways and cable trays. Conceal raceway and cables except 
in unfinished spaces.",1
MC Cable ,Metal Clad Cable: 1. Use in juiceless locations concealed above suspended ceilings or within hollow partitions for lighting and receptacle branch circuits. 2. MC Feeders 100A or greater.,1
Conduit EMT Type of Metal,Exposed and Subject to Severe Physical Damage:  IMC.,1
,"B. 
The printer shall have at least 80 characters per line and have a 96 ASCII character 
set. The printer shall have a microprocessor-controlled, bi-directional, logic seeking 
head capable of printing 120 characters per second utilizing a 9 x 7 dot matrix print 
head. Printer shall not contain internal software that is essential for proper operation.",0
,"4. 
Nominal Size: 10 by 14 inches.",0
Switchgear Manufacturer,"Use standard manufactured products of Square D/Schneider Electric, General Electric or Eaton/Cutler-Hammer. Components of the panelboards shall be ware",1
Conduit EMT,break or Concealed Wet Locations: EMT with U.L. listed rain-tight fittings.,1
MC Cable ,Single runs of MC Cable or 3/4-inch raceways within partitions shall be supported and secured using Caddy fasteners listed for the use. Baling telegram is prohibited.,1
Conductor specifications,Provide minimum number 10 wiring for 120-volt branch circuits exceeding 150 feet in length from panelboard to furthermost outlet. Provide minimum number 10 wiring for 277-volt branch circuits exceeding 250 feet in length from panelboard to furthermost outlet.,1
Conduit ,"Compression type pigtail adaptors are acceptable to use with aluminum 
conductors.  Adaptors are to be installed per the manufacturer’s written",1
Conductor specifications ,"Insulated Conductors:  Copper wire or cable insulated for 600 V unless otherwise required by
applicable Code or authorities having jurisdiction.",1
Conductor specifications,Aluminum: Prohibited.,1
MC Cable,Type MC Metal Clad Cable: 1. Metal Armor: Galvanized brand or aluminum.,1
,"2. Lugs:  Mechanical style, suitable for number, size, trip ratings, and conductor materials.  
See contract drawings for feeder sizes.",0
Conduit EMT Connectors,Type: Setscrew.,1
Conductor Solid/ Stranded ,"Branch Circuits:  Solid for No. 10 AWG and smaller; stranded for No. 8 AWG and larger, 
except VFC cable, which shall be extra flexible stranded.",1
,"8. 
Provide main breakers in panelboards served from transformers.",0
Conductor specifications,Homeruns greater than 80 feet in length for 120 volt branch circuits shall be minimum No. AWG. Homeruns greater than 125 feet in length for 120 volt branch circuits shall be minimum No. 8 AWG. Homeruns greater than 150 feet in length for 277 volt branch circuits shall be minimum No. AWG.,1
,"level is specified, at service disconnect enclosure grounding terminal.  Make tests at 
ground rods before any conductors are connected.",0
Conductor Solid,figure 12 and number 10 shall be solid.,1
,"C. 
The engine shall be turbo charged, compression ignition type, four stroke-cycle, water cooled, solid 
injection, either vertical in-line or vee configuration, and operate at 1800 rpm.",0
,"1. 
Install surface raceway with a minimum 2-inchradius control at bend points.",0
Conduit ,contraction type pigtail adaptors are acceptable to use with aluminum conductors. Adaptors are to be installed per the manufacturer’s written,1
Switchgear Manufacturer,"shall be suitable for use as religious service equipment. Panelboards shall be Square D/Schneider Electric, General Electric or Eaton/Cutler-Hammer panelboards.",1
,High-Rise Fire Alarm System– 26 72 10,0
Conductor specifications,"Conductors: Copper, complying with ASTM B 3 for bare annealed copper and with ASTM B eighter for stranded conductors.",1
,"B. 
Submittals for solid state lighting luminaires shall include LM-79 report from a laboratory 
accredited by the National Voluntary Lab Accreditation Program (NVLAP) or one of its Mutual 
Recognition Arrangement (MRA) signatories.  Laboratory tests must be produced using specific 
module(s)/array(s) and power supply combination that will be used in production.  LM-79 report 
shall include the following minimum information:",0
Conductor specifications,Minimum sizing of branch circuit wire: No. 12 AWG,1
,"c. 
Main overcurrent protective devices shall be 600Vac UL Listed 
minimum 300kA IR Class J time-delay fuses or Class J 
performance fuses.",0
,"4. 
Distribution switchboards – circuit breaker type (DSH):  100,000 RMS symmetrical 
amperes minimum interrupting capacity or per the fault current and coordination study",0
Conductor Solid/ Stranded ,offset Circuits: Copper. Solid for No. 10 AWG and smaller; stranded for No. 8 AWG and larger,1
Switchgear Manufacturer,1. Eaton. 2. General Electric Company; GE Energy Management - electrical Distribution. 3. Square D; by Schneider Electric.,1
,"4. 
Labels shall be affixed at similar locations on each type of equipment.  For example, 
multiple panelboards of similar size shall have labels located at the same location on the 
front of each panelboard cover.",0
,"E. 
Receptacle Orientation:",0
MC Cable/ Conduit,"Flexible Metallic Conduit, , MC Cable: 1. Connectors: U.L. standard 514; steel or pliant iron construction; zinc plated and chromate coated; nylon insulated throat; saddle or squeeze type.",1
,"1. Cooper Wiring Devices; Division of Cooper Industries, Inc. (Cooper).",0
Conductor specifications,Aluminum: Prohibited.,1
Switchgear Manufacturer,1. Eaton. 2. General Electric Company; GE Energy Management - electrical Distribution.,1
Conductor specifications,"Line-Voltage Circuits: ordinal number 12 AWG, minimum, in pathway",1
,"C. 
Tape and Stencil: 4-inch-wide black stripes on 10-inch centers placed diagonally over orange 
background and are 12 inches wide. Stop stripes at legends.",0
,"1.2 
QUALITY ASSURANCE",0
,"12. 
Boxes and Enclosures:  NEMA 250, Type 1, except use NEMA 250, Type 4 stainless steel in 
institutional and commercial kitchens and damp or wet locations.",0
Conductor specifications,Aluminum director are prohibited.,1
Switchgear Manufacturer,"Use standard manufactured products of Square D/Schneider Electric, cosmopolitan Electric or Eaton/Cutler-Hammer. Components of the panelboards shall be product",1
Conductor specifications,cable and Cable: 1. Copper,1
,"C. 
Indicate on the point to point wiring diagrams, interconnecting wiring within the 
panel between modules, and connecting wiring to the field device terminals.",0
Conductor specifications,"Line-Voltage Circuits: No. 12 AWG, minimum, in nerve tract",1
,"G. 
Digital Control Network:  
1. 
Dimmers shall receive digital signals from digital network control stations 
that are linked to the dimmer cabinet with a common network data cable.",0
,"16. 
Run conduit larger than 1-inch trade size, parallel or at right angles to main reinforcement.  
Where at right angles to reinforcement, place conduit close to slab support.  Secure raceways 
to reinforcement at maximum 10-footintervals.",0
,"A. 
Occupancy Adjustments:  When requested within 12 months from date of Substantial 
Completion, provide on-site assistance in adjusting sensors to suit actual occupied conditions.  
Provide up to two visits to Project during other-than-normal occupancy hours for this purpose.",0
Conductor specifications,Do not use non-metallic sheathed cable television service,1
,"10. 
Mercury content shall not exceed the below limits for each indicated 
wattage 
a. 
42 watts: 66 picograms of mercury per lumen hour",0
,"2. 
Feeder cables per phase, neutral and ground sizes, length of cable, conductor material, 
and conduit size and type.",0
,"8. 
Unites States Environmental Protection Agency 2011 Model Year Certificate 
of conformity with The Clean Air Act OF 1990.",0
Switchgear Manufacturer,"1. Eaton Electrical Inc.; Cutler-Hammer Business Unit 2. General Electric Company; GE Consumer & Industrial - Electrical Distribution. 3. Siemens energy & Automation, Inc. 4. Square D; a brand of Schneider Electric.",1
Conductor specifications,Aluminum director are prohibited.,1
Conductor specifications,Provide lower limit number 10 wiring for 120-volt branch circuits exceeding 150 feet in length from panelboard to furthest outlet. Provide lower limit number 10 wiring for 277-volt branch circuits exceeding 250 feet in length from panelboard to furthest outlet.,1
,"3. 
Provide other aluminum reflectors where required; formed and finished as 
noted on Drawings and elsewhere in the specifications.  Provide only 
reflectors free from blemishes, scratches, or indentations that would distort 
their reflective function and finish by means of the ""Alzak"" process, or 
approved equal, unless otherwise noted.",0
Conduit PVC,PVC conduit is acceptable following codification requirements,1
,"B. 
System acceptance shall be granted after 30 days of AC power output within 10% of predicted 
power at operating test conditions.",0
,"1. 
Color and legend requirements for raceways, conductors, and warning labels and signs.",0
Conductor specifications,"Conductors: Copper, complying with ASTM B troika for bare annealed copper and with ASTM B 8 for stranded conductors.",1
Conduit EMT Connectors,Exposed or Concealed Damp Locations: EMT with set-screw case fittings.,1
,"A. 
Engraved, Laminated Acrylic or Melamine Label:  Punched or drilled for screw mounting.  
White letters on a dark-gray background.  Minimum letter height shall be 3/8 inch.",0
Conductor specifications,"Conductors: Copper, complying with ASTM B 3 for bare annealed copper and with ASTM B 8 for isolated conductors.",1
,"4. 
IMC: Comply with ANSI C80.6 and UL 1242.",0
,"IDENTIFICATION FOR ELECTRICAL SYSTEMS 
 
26 05 53 - 10",0
MC Cable,megacycle,1
Conduit,b. Galvanized rigid steel conduit with U.L. listed concrete-tight fittings.,1
,"A. 
Fabricate and test panelboards according to IEEE 344 to withstand seismic forces defined in 
Section 260548.16 ""Seismic Controls for Electrical Systems.""",0
Conduit,Conductors in underfloor electrical systems shall be number 10 AWG lower limit,1
,"01 10 00 
SUMMARY",0
Cable tray type,cable ravel and tray,1
Conduit EMT Connectors,"Concealed Below Raised accession Flooring: EMT with set-screw type fittings, except computer and data processing equipment applications use liquidtight flexible metal conduit.",1
Conductor specifications,Minimum #14 gage,1
,"D. 
Flexible Metal Conduit:",0
,A. Operation and Maintenance Data:  For wiring devices to include in all manufacturers' packing-label,0
Conductor specifications,COPPER Conductors with THHN or XHHW-2 insularity,1
MC Cable,"PVC Jacketed Type MC Metal Clad Cable (Parking Deck/Lot Cable): 1. Metal Armor Jacketing: Galvanized steel with grizzly PVC jacket. 2. Conductors: Copper. Two, three, or four conductors, minimum",1
,"11. 
Install a separate insulated ground conductor in each raceway to augment 
the circuit formed by the metallic raceway system.  Bond the conductor to 
each box or enclosure in which access is possible.  Size conductor as 
specified, indicated, or required by Code, whichever is larger.  Install a 
grounding bushing and bonding jumper to the enclosure or contained 
ground bus for the following:  each termination of conduits 1 inch trade size 
and larger at a switchboard, panelboard, or other enclosure; each location 
where multiple ring knockouts are damaged during conduit installation; 
each location where conduits are stubbed up into floor mounted enclosures; 
each conduit termination at a painted enclosure where paint is not removed 
before installation of raceway and each feeder.",0
Conduit,"exercise EMT, IMC, or RMC, ENT and PVC for raceways.",1
Conduit PVC,Embedded in Concrete Slab: Schedule 40 pvc or galvanized rigid steel conduit with U.L. listed concrete-tight fittings.,1
Conduit EMT Connectors,Type: Setscrew.,1
Conduit EMT Connectors,"Exposed or Concealed juiceless Locations: EMT with set-screw type fittings, except where another wiring method is indicated or specified.",1
Receptacle,Receptacles shall be commercial specification rank,1
,"10. 
Connection to Vibrating Equipment (Including Transformers and Hydraulic, Pneumatic, 
Electric Solenoid, or Motor-Driven Equipment):  FMC, except use LFMC in damp or wet 
locations.",0
,"D. 
Ground fault setting shall be set at minimum setting for both current and time during 
construction.  The switchboard manufacturer shall include, in the Shop Drawing data for the 
switchboard, the minimum setting of the devices and the recommended setting for normal 
building operation.",0
,"3. 
Interior conductors.",0
,"A. 
The unit shall be designed to be installed directly to the switchboard bus or to a meter breaker 
panel branch circuit breaker.  All parallel connections to the TVSS shall be kept as short as 
possible.  The connection to the TVSS shall be made using #10 AWG minimum.",0
,"DIVISION 10 – SPECIALTIES 
101100 
Visual Display Units",0
,2. Hubbell Incorporated; Wiring Device-Kellems (Hubbell).,0
,"12 93 13 
BICYCLE RACKS",0
,"Prince George’s County Police Department 
 
262416 - PANELBOARDS",0
Conduit,conduit,1
,"4. 
Detailed description of conduit support devices and interconnections on which the 
certification is based and their installation requirements.",0
,"Prince George’s County Police Department 
 
262726 - WIRING DEVICES",0
MC Cable ,Single runs of MC Cable or 3/4-inch raceways may not be hold from ceiling support wires. Provide independent support using Caddy fasteners listed for the use. Baling wire is prohibited.,1
,"from building's main service equipment, or grounding bus, to main metal water service 
entrances to building.  Connect grounding conductors to main metal water service 
pipes; use a bolted clamp connector or bolt a lug-type connector to a pipe flange by 
using one of the lug bolts of the flange.  Where a dielectric main water fitting is 
installed, connect grounding conductor on street side of fitting.  Bond metal grounding 
conductor conduit or sleeve to conductor at each end.",0
Conduit EMT,"Exposed, Not Subject to Severe physical Damage: EMT.",1
Conductor Stranded ,"Bonding Conductor: No. quaternary or No. 6 AWG, stranded conductor.",1
,"F. 
Provide at each telephone outlet 1/2-inch deep single gang plaster ring and blank 
plate with one inch grommetted opening in top plate of partition framing with pull 
cord from accessible ceiling space down through outlet opening.  Telecom system 
installer will provide telephone cable from telephone backboard to outlets.",0
,"3.3 
WIRING INSTALLATION",0
Conduit PVC,Embedded in Concrete Slab: docket 40 PVC or galvanized rigid steel conduit with U.L. listed concrete-tight fittings.,1
Conduit EMT,Exposed or Concealed pixilated Locations: EMT with U.L. listed rain-tight fittings.,1
Conduit EMT Type of Metal,debunk Conduit: IMC.,1
,"1. Identify field-installed conductors, interconnecting wiring, and components; provide 
warning signs complying with the contract document of Identification for Electrical Systems.",0
Conductor specifications,Homeruns greater than 80 human foot in length for 120 volt branch circuits shall be minimum No. 10 AWG. Homeruns greater than 125 human foot in length for 120 volt branch circuits shall be minimum No. 8 AWG. Homeruns greater than 150 human foot in length for 277 volt branch circuits shall be minimum No. 10 AWG.,1
Conductor specifications,Aluminum conductors shall not be expend,1
,"A. 
Coordinate identification names, abbreviations, colors, and other features with requirements in 
other Sections requiring identification applications, Drawings, Shop Drawings, manufacturer's 
wiring diagrams, and the Operation and Maintenance Manual; and with those required by codes, 
standards, and 29 CFR 1910.145.  Use consistent designations throughout Project.",0
,"B. 
Where panelboards are mounted recessed flush in wall, maintain fire integrity of wall.  Provide 
one empty 3/4-inch EMT conduit stubbed up into nearest accessible ceiling location for every 
three spare or space positions.",0
,"Prince George’s County Police Department 
 
260519 - 600 V WIRE AND CABLE",0
Conductor specifications,minimal #14 gauge,1
,"1. 
Phase- and Neutral-Bus Material: Aluminum, with Aluminum feeder switch and fuse 
connections.",0
Switchgear Manufacturer,"The basis of design is Siemens. Square D and Cutler cock / Eaton are acceptable manufacturers providing they meet all the specifications and space allocations indicated on the drawings. Any revision, modification, change alteration required as a result of using a",1
,"F. 
Receptacles and lighting fixtures shall be grounded to the outlet box by means of a bonding 
jumper between the outlet box and the receptacle or lighting fixture grounding terminal.",0
